Parameter,Label,Name
Time,,
FSC-A,,
FSC-H,,
FSC-W,,
SSC-A,,
SSC-H,,
SSC-W,,
V-BV421-A,CD5,V-BV421-A
V-V500-A,,V-V500-A
V-BV570-A,,V-BV570-A
V-BV610-A,CD4,V-BV610-A
V-BV650-A,,V-BV650-A
V-BV711-A,CD11b,V-BV711-A
V-BV785-A,CD11c,V-BV785-A
BV-Amcyan-A,Live/Dead,BV-Amcyan-A
B-FITC-A,CD317,B-FITC-A
B-Sytox Green-A,,B-Sytox Green-A
G-PE-A,CD192,G-PE-A
G PE-TR-A,SigF,G PE-TR-A
G-PE-Cy5-A,CD117,G-PE-Cy5-A
G-PE-Cy5-5-A,CD8a,G-PE-Cy5-5-A
G-PE-Cy7-A,F4,G-PE-Cy7-A
R-APC-A,CD64,R-APC-A
R-Alexa700-A,CMHCII,R-Alexa700-A
R APC-Cy7-A,Ly6C,R APC-Cy7-A
