Parameter,Label,Name
Time,,
FSC-A,,
FSC-H,,
FSC-W,,
SSC-A,,
SSC-H,,
SSC-W,,
V-BV421-A,CD5,V450-A
V-V500-A,V525-A,V525-A
V-BV570-A,V585-A,V585-A
V-BV610-A,KLRG1,V610-A
V-BV650-A,TCRd,V670-A
V-BV711-A,GITR,V710-A
V-BV785-A,V780-A,V780-A
BV-Amcyan-A,Live/Dead,I515-A
B-FITC-A,CD4,B525-A
B-Sytox Green-A,B610-A,B610-A
G-PE-A,CD44,Y582-A
G PE-TR-A,CD8a,Y610-A
G-PE-Cy5-A,Y670-A,Y670-A
G-PE-Cy5-5-A,Y710-A,Y710-A
G-PE-Cy7-A,CD25,Y780-A
R-APC-A,CD161,R670-A
R-Alexa700-A,CD24,R730-A
R APC-Cy7-A,CD62L,R780-A
