,Package,Version
abind,abind,1.4-5
Biobase,Biobase,2.54.0
BiocGenerics,BiocGenerics,0.40.0
BiocManager,BiocManager,1.30.17
BiocVersion,BiocVersion,3.14.0
bit,bit,4.0.4
bit64,bit64,4.0.5
bitops,bitops,1.0-7
blob,blob,1.2.3
brew,brew,1.0-7
brio,brio,1.1.3
broom,broom,0.8.0
bslib,bslib,0.3.1
cachem,cachem,1.0.6
callr,callr,3.7.0
car,car,3.0-12
caTools,caTools,1.18.2
cellranger,cellranger,1.1.0
cipheCytoExploreR,cipheCytoExploreR,0.1.0
cipheinfinityFlow,cipheinfinityFlow,0.1.0
circlize,circlize,0.4.15
cli,cli,3.2.0
clipr,clipr,0.8.0
clue,clue,0.3-60
colorspace,colorspace,2.0-3
commonmark,commonmark,1.8.0
ComplexHeatmap,ComplexHeatmap,2.10.0
config,config,0.3.1
corpcor,corpcor,1.6.10
cpp11,cpp11,0.4.2
cytoinstaller,cytoinstaller,0.1.0
cytolib,cytolib,2.6.2
CytoML,CytoML,2.6.0
data.table,data.table,1.14.2
DBI,DBI,1.1.2
dbplyr,dbplyr,2.1.1
debugme,debugme,1.1.0
DelayedArray,DelayedArray,0.20.0
DEoptimR,DEoptimR,1.0-11
desc,desc,1.4.1
deSolve,deSolve,1.32
devtools,devtools,2.4.3
Dict,Dict,0.1.0
diffobj,diffobj,0.3.5
digest,digest,0.6.29
doParallel,doParallel,1.0.17
dotCall64,dotCall64,1.0-1
dplyr,dplyr,1.0.8
dqrng,dqrng,0.3.0
DT,DT,0.22
dtplyr,dtplyr,1.2.1
e1071,e1071,1.7-9
ECharts2Shiny,ECharts2Shiny,0.2.13
ellipse,ellipse,0.4.2
ellipsis,ellipsis,0.3.2
EmbedSOM,EmbedSOM,2.1.1
evaluate,evaluate,0.15
fansi,fansi,1.0.3
farver,farver,2.1.0
fastmap,fastmap,1.1.0
fda,fda,5.5.1
fds,fds,1.8
feature,feature,1.2.15
fields,fields,13.3
filesstrings,filesstrings,3.2.2
flowAI,flowAI,1.24.0
flowClust,flowClust,3.32.0
flowCore,flowCore,2.6.0
flowDensity,flowDensity,1.28.0
flowMeans,flowMeans,1.54.0
flowMerge,flowMerge,2.42.0
flowStats,flowStats,4.6.0
flowType,flowType,2.25.0
flowUtils,flowUtils,1.58.0
flowViz,flowViz,1.58.0
flowVS,flowVS,1.26.0
flowWorkspace,flowWorkspace,4.6.0
fmsb,fmsb,0.7.3
FNN,FNN,1.1.3
fontawesome,fontawesome,0.2.2
forcats,forcats,0.5.1
foreach,foreach,1.5.2
fresh,fresh,0.2.0
fs,fs,1.5.2
gargle,gargle,1.2.0
generics,generics,0.1.2
GEOmap,GEOmap,2.4-4
gert,gert,1.6.0
GetoptLong,GetoptLong,1.0.5
ggcyto,ggcyto,1.22.0
ggdendro,ggdendro,0.1.23
ggplot2,ggplot2,3.3.5
gh,gh,1.3.0
gitcreds,gitcreds,0.1.1
glmnet,glmnet,4.1-4
glmnetUtils,glmnetUtils,1.1.8
GlobalOptions,GlobalOptions,0.1.2
glue,glue,1.6.2
googledrive,googledrive,2.0.0
googlesheets4,googlesheets4,1.0.0
gplots,gplots,3.1.3
graph,graph,1.72.0
gridExtra,gridExtra,2.3
gtable,gtable,0.3.0
gtools,gtools,3.9.2
haven,haven,2.5.0
hdrcde,hdrcde,3.4
here,here,1.0.1
hexbin,hexbin,1.28.2
highr,highr,0.9
hms,hms,1.1.1
htmltools,htmltools,0.5.2
htmlwidgets,htmlwidgets,1.5.4
httpuv,httpuv,1.6.5
httr,httr,1.4.2
hypergate,hypergate,0.8.3
IDPmisc,IDPmisc,1.1.20
ids,ids,1.0.1
igraph,igraph,1.3.1
infinityFlow,infinityFlow,1.4.0
infinityFlowCiphe,infinityFlowCiphe,1.4.0
ini,ini,0.3.1
jsonlite,jsonlite,1.8.0
keras,keras,2.8.0
kerasR,kerasR,0.6.1
kernlab,kernlab,0.9-30
knitr,knitr,1.38
ks,ks,1.13.5
labeling,labeling,0.4.2
later,later,1.3.0
latticeExtra,latticeExtra,0.6-29
lazyeval,lazyeval,0.2.2
lemon,lemon,0.4.5
lifecycle,lifecycle,1.0.1
lme4,lme4,1.1-29
locfit,locfit,1.5-9.5
lubridate,lubridate,1.8.0
magrittr,magrittr,2.0.3
maps,maps,3.4.0
maptools,maptools,1.1-4
markdown,markdown,1.1
matlab,matlab,1.0.2
MatrixGenerics,MatrixGenerics,1.6.0
MatrixModels,MatrixModels,0.5-0
matrixStats,matrixStats,0.61.0
MBA,MBA,0.0-9
mclust,mclust,5.4.9
memoise,memoise,2.0.1
mime,mime,0.12
minqa,minqa,1.2.4
misc3d,misc3d,0.9-1
mixtools,mixtools,1.2.0
mnormt,mnormt,2.0.2
modelr,modelr,0.1.8
multicool,multicool,0.1-12
munsell,munsell,0.5.0
mvtnorm,mvtnorm,1.1-3
ncdfFlow,ncdfFlow,2.40.0
NCmisc,NCmisc,1.1.6
nloptr,nloptr,2.0.0
NLP,NLP,0.2-1
numDeriv,numDeriv,2016.8-1.1
officer,officer,0.4.2
openCyto,openCyto,2.6.0
openssl,openssl,2.0.0
parsedate,parsedate,1.3.0
pbapply,pbapply,1.5-0
pbkrtest,pbkrtest,0.5.1
pcaPP,pcaPP,1.9-74
pillar,pillar,1.7.0
pingr,pingr,2.0.1
pkgbuild,pkgbuild,1.3.1
pkgconfig,pkgconfig,2.0.3
pkgload,pkgload,1.2.4
plot3D,plot3D,1.4
plotly,plotly,4.10.0
plyr,plyr,1.8.7
png,png,0.1-7
pracma,pracma,2.3.8
praise,praise,1.0.0
prettyunits,prettyunits,1.1.1
processx,processx,3.5.3
proftools,proftools,0.99-3
progress,progress,1.2.2
promises,promises,1.2.0.1
proxy,proxy,0.4-26
ps,ps,1.7.0
purrr,purrr,0.3.4
quantreg,quantreg,5.88
R.methodsS3,R.methodsS3,1.8.1
R.oo,R.oo,1.24.0
R.utils,R.utils,2.11.0
